"","date","y"
"543",2017-11-02,0
"544",2017-11-03,0
"545",2017-11-04,0
"546",2017-11-05,0
"547",2018-02-05,0
"548",2018-02-06,0
"549",2018-02-07,0
"550",2018-02-08,0
"551",2018-02-09,0
"552",2018-02-10,0
"553",2018-02-11,0
"554",2018-02-12,0
"555",2018-02-13,0
"556",2018-02-14,0
"557",2018-02-15,0
"558",2018-02-16,0
"559",2018-02-17,10
"560",2018-02-18,1
"561",2018-02-19,1
"562",2018-02-20,1
"563",2018-02-21,1
"564",2018-02-22,1
"565",2018-02-23,5
"566",2018-02-24,1
"567",2018-02-25,3
"568",2018-02-26,1
"569",2018-02-27,1
"570",2018-02-28,2
"571",2018-03-01,2
"572",2018-03-02,3
"573",2018-03-03,0
"574",2018-03-04,0
"575",2018-03-05,3
"576",2018-03-06,0
"577",2018-03-07,1
"578",2018-03-08,14
"579",2018-03-09,43
"580",2018-03-10,74
"581",2018-03-11,46
"582",2018-03-12,16
"583",2018-03-13,32
"584",2018-03-14,34
"585",2018-03-15,13
"586",2018-03-16,3
"587",2018-03-17,3
"588",2018-03-18,1
"589",2018-03-19,0
"590",2018-03-20,5
"591",2018-03-21,15
"592",2018-03-22,17
"593",2018-03-23,1
"594",2018-03-24,3
"595",2018-03-25,1
"596",2018-03-26,3
"597",2018-03-27,1
"598",2018-03-28,3
"599",2018-03-29,8
"600",2018-03-30,1
"601",2018-03-31,3
"602",2018-04-01,5
"603",2018-04-02,0
"604",2018-04-03,0
"605",2018-04-04,0
"606",2018-04-05,0
"607",2018-04-06,0
"608",2018-04-07,0
"609",2018-04-08,0
"610",2018-04-09,7
"611",2018-04-10,3
"612",2018-04-11,1
"613",2018-04-12,1
"614",2018-04-13,4
"615",2018-04-14,1
"616",2018-04-15,0
"617",2018-04-16,0
"618",2018-04-17,0
"619",2018-04-18,0
"620",2018-04-19,0
"621",2018-04-20,0
"622",2018-04-21,0
"623",2018-04-22,0
"624",2018-04-23,0
"625",2018-04-24,0
"626",2018-04-25,0
"627",2018-04-26,0
"628",2018-04-27,0
"629",2018-04-28,0
"630",2018-04-29,0
"631",2018-04-30,0
"632",2018-05-01,0
"633",2018-05-02,0
"634",2018-05-03,0
"635",2018-05-04,0
"636",2018-05-05,0
"637",2018-05-06,0
"638",2018-05-07,0
"639",2018-05-08,0
"640",2018-05-09,0
"641",2018-05-10,0
"642",2018-05-11,0
"643",2018-05-12,0
"644",2018-05-13,0
"645",2018-05-14,0
"646",2018-05-15,0
"647",2018-05-16,0
"648",2018-05-17,0
"649",2018-05-18,0
"650",2018-05-19,0
"651",2018-05-20,0
"652",2018-05-21,0
"653",2018-05-22,0
"654",2018-05-23,0
"655",2018-05-24,0
"656",2018-05-25,0
"657",2018-05-26,1
"658",2018-05-27,0
"659",2018-05-28,0
"660",2018-05-29,0
"661",2018-05-30,0
"662",2018-05-31,0
"663",2018-06-01,0
"664",2018-06-02,0
"665",2018-06-03,0
"666",2018-06-04,0
"667",2018-06-05,0
"668",2018-06-06,0
"669",2018-06-07,0
"670",2018-06-08,0
"671",2018-06-09,0
"672",2018-06-10,0
"673",2018-06-11,0
"674",2018-06-12,0
"675",2018-06-13,0
"676",2018-06-14,0
"677",2018-06-15,0
"678",2018-06-16,0
"679",2018-06-17,0
"680",2018-06-18,0
"681",2018-06-19,0
"682",2018-06-20,0
"683",2018-06-21,0
"684",2018-06-22,0
"685",2018-06-23,0
"686",2018-06-24,0
"687",2018-06-25,0
"688",2018-06-26,0
"689",2018-06-27,0
"690",2018-06-28,0
"691",2018-06-29,0
"692",2018-06-30,0
"693",2018-07-01,0
"694",2018-07-02,0
"695",2018-07-03,0
"696",2018-07-04,0
"697",2018-07-05,0
"698",2018-07-06,0
"699",2018-07-07,0
"700",2018-07-08,0
"701",2018-07-09,0
"702",2018-07-10,0
"703",2018-07-11,0
"704",2018-07-12,0
"705",2018-07-13,0
"706",2018-07-14,0
"707",2018-07-15,0
"708",2018-07-16,0
"709",2018-07-17,0
"710",2018-07-18,0
"711",2018-07-19,0
"712",2018-07-20,0
"713",2018-07-21,0
"714",2018-07-22,0
"715",2018-07-23,0
"716",2018-07-24,0
"717",2018-07-25,0
"718",2018-07-26,0
"719",2018-07-27,0
"720",2018-07-28,0
"721",2018-07-29,0
"722",2018-07-30,0
"723",2018-07-31,0
"724",2018-08-01,0
"725",2018-08-02,0
"726",2018-08-03,0
"727",2018-08-04,0
"728",2018-08-05,0
"729",2018-08-06,0
"730",2018-08-07,0
"731",2018-08-08,0
"732",2018-08-09,0
"733",2018-08-10,0
"734",2018-08-11,0
"735",2018-08-12,0
"736",2018-08-13,0
"737",2018-08-14,0
"738",2018-08-15,0
"739",2018-08-16,0
"740",2018-08-17,0
"741",2018-08-18,0
"742",2018-08-19,0
"743",2018-08-20,0
"744",2018-08-21,0
"745",2018-08-22,0
"746",2018-08-23,0
"747",2018-08-24,0
"748",2018-08-25,0
"749",2018-08-26,0
"750",2018-08-27,0
"751",2018-08-28,0
"752",2018-08-29,0
"753",2018-08-30,0
"754",2018-08-31,0
"755",2018-09-01,0
"756",2018-09-02,0
"757",2018-09-03,0
"758",2018-09-04,0
"759",2018-09-05,0
"760",2018-09-06,0
"761",2018-09-07,0
"762",2018-09-08,0
"763",2018-09-09,0
"764",2018-09-10,0
"765",2018-09-11,0
"766",2018-09-12,0
"767",2018-09-13,0
"768",2018-09-14,0
"769",2018-09-15,0
"770",2018-09-16,0
"771",2018-09-17,0
"772",2018-09-18,0
"773",2018-09-19,0
"774",2018-09-20,0
"775",2018-09-21,0
"776",2018-09-22,0
"777",2018-09-23,0
"778",2018-09-24,0
"779",2018-09-25,0
"780",2018-09-26,0
"781",2018-09-27,0
"782",2018-09-28,0
"783",2018-09-29,0
"784",2018-09-30,0
"785",2018-10-01,0
"786",2018-10-02,0
"787",2018-10-03,0
"788",2018-10-04,0
"789",2018-10-05,0
"790",2018-10-06,0
"791",2018-10-07,0
"792",2018-10-08,0
"793",2018-10-09,0
"794",2018-10-10,0
"795",2018-10-11,0
"796",2018-10-12,0
"797",2018-10-13,0
"798",2018-10-14,0
"799",2018-10-15,0
"800",2018-10-16,0
"801",2018-10-17,0
"802",2018-10-18,0
"803",2018-10-19,0
"804",2018-10-20,0
"805",2018-10-21,0
"806",2018-10-22,0
"807",2018-10-23,0
"808",2018-10-24,0
"809",2018-10-25,0
"810",2018-10-26,0
"811",2018-10-27,0
"812",2018-10-28,0
"813",2018-10-29,0
"814",2018-10-30,0
"815",2018-10-31,0
"816",2018-11-01,0
"817",2018-11-02,0
"818",2018-11-03,0
"819",2018-11-04,0
"820",2019-01-01,0
"821",2019-02-04,0
"822",2019-02-05,0
"823",2019-02-06,0
"824",2019-02-07,0
"825",2019-02-09,0
"826",2019-02-10,0
"827",2019-02-11,0
"828",2019-02-12,0
"829",2019-02-13,0
"830",2019-02-14,0
"831",2019-02-15,0
"832",2019-02-16,0
"833",2019-02-17,0
"834",2019-02-18,1
"835",2019-02-19,28
"836",2019-02-20,42
"837",2019-02-21,52
"838",2019-02-22,9
"839",2019-02-23,4
"840",2019-02-24,2
"841",2019-02-25,1
"842",2019-02-26,142
"843",2019-02-27,44
"844",2019-02-28,140
"845",2019-03-01,170
"846",2019-03-02,20
"847",2019-03-03,5
"848",2019-03-04,47
"849",2019-03-05,7
"850",2019-03-06,9
"851",2019-03-07,46
"852",2019-03-08,18
"853",2019-03-09,2
"854",2019-03-10,8
"855",2019-03-11,4
"856",2019-03-12,3
"857",2019-03-13,6
"858",2019-03-14,1
"859",2019-03-15,2
"860",2019-03-16,0
"861",2019-03-17,3
"862",2019-03-18,1
"863",2019-03-19,1
"864",2019-03-20,1
"865",2019-03-21,3
"866",2019-03-22,1
"867",2019-03-23,3
"868",2019-03-24,0
"869",2019-03-25,2
"870",2019-03-26,3
"871",2019-03-27,0
"872",2019-03-28,1
"873",2019-03-29,1
"874",2019-03-30,3
"875",2019-03-31,3
"876",2019-04-01,1
"877",2019-04-02,4
"878",2019-04-03,1
"879",2019-04-04,1
"880",2019-04-05,1
"881",2019-04-06,1
"882",2019-04-07,0
"883",2019-04-08,1
"884",2019-04-09,1
"885",2019-04-10,0
"886",2019-04-11,0
"887",2019-04-12,0
"888",2019-04-13,0
"889",2019-04-14,0
"890",2019-04-15,0
"891",2019-04-16,0
"892",2019-04-17,0
"893",2019-04-18,1
"894",2019-04-19,3
"895",2019-04-20,6
"896",2019-04-21,3
"897",2019-04-22,0
"898",2019-04-23,0
"899",2019-04-24,0
"900",2019-04-25,0
"901",2019-04-26,0
"902",2019-04-27,0
"903",2019-04-28,0
"904",2019-04-29,0
"905",2019-04-30,0
"906",2019-05-01,0
"907",2019-05-02,0
"908",2019-05-03,0
"909",2019-05-04,0
"910",2019-05-05,0
"911",2019-05-06,0
"912",2019-05-07,0
"913",2019-05-08,0
"914",2019-05-09,0
"915",2019-05-10,0
"916",2019-05-11,0
"917",2019-05-12,0
"918",2019-05-13,0
"919",2019-05-14,0
"920",2019-05-15,0
"921",2019-05-16,0
"922",2019-05-17,0
"923",2019-05-18,0
"924",2019-05-19,0
"925",2019-05-20,0
"926",2019-05-21,0
"927",2019-05-22,0
"928",2019-05-23,0
"929",2019-05-24,0
"930",2019-05-25,0
"931",2019-05-26,0
"932",2019-05-27,0
"933",2019-05-28,0
"934",2019-05-29,0
"935",2019-05-30,0
"936",2019-05-31,0
"937",2019-06-01,0
"938",2019-06-02,0
"939",2019-06-03,0
"940",2019-06-04,0
"941",2019-06-05,0
"942",2019-06-06,0
"943",2019-06-07,0
"944",2019-06-08,1
"945",2019-06-09,1
"946",2019-06-10,0
"947",2019-06-11,0
"948",2019-06-12,0
"949",2019-06-13,0
"950",2019-06-14,0
"951",2019-06-15,0
"952",2019-06-16,0
"953",2019-06-17,0
"954",2019-06-18,0
"955",2019-06-19,0
"956",2019-06-20,0
"957",2019-06-21,0
"958",2019-06-22,0
